"link","State","pop2016","pop2010","GrowthRate"
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/mo/st-louis-county-population/"",""children"":""St. Louis County""},""_owner"":null}","Missouri",996726,998681,-0.0019575820507249375
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/fresno-county-population/"",""children"":""Fresno County""},""_owner"":null}","California",989255,932218,0.061184186531476614
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/hi/honolulu-county-population/"",""children"":""Honolulu County""},""_owner"":null}","Hawaii",988650,956193,0.033943984111994174
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ny/westchester-county-population/"",""children"":""Westchester County""},""_owner"":null}","New York",980244,950964,0.03078980907794615
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/fl/pinellas-county-population/"",""children"":""Pinellas County""},""_owner"":null}","Florida",970637,916490,0.05908084103481759
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/tx/collin-county-population/"",""children"":""Collin County""},""_owner"":null}","Texas",969603,788442,0.22977086456581453
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/wi/milwaukee-county-population/"",""children"":""Milwaukee County""},""_owner"":null}","Wisconsin",952085,948302,0.003989235496708821
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/in/marion-county-population/"",""children"":""Marion County""},""_owner"":null}","Indiana",950082,904504,0.05039004802632152
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ct/fairfield-county-population/"",""children"":""Fairfield County""},""_owner"":null}","Connecticut",949921,919749,0.03280460212514491
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/nj/bergen-county-population/"",""children"":""Bergen County""},""_owner"":null}","New Jersey",948406,906879,0.045791114360350216
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/fl/duval-county-population/"",""children"":""Duval County""},""_owner"":null}","Florida",937934,865659,0.08349130546785744
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/tn/shelby-county-population/"",""children"":""Shelby County""},""_owner"":null}","Tennessee",936961,928552,0.00905603563397639
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/il/dupage-county-population/"",""children"":""Dupage County""},""_owner"":null}","Illinois",930128,918112,0.013087727858910547
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ny/erie-county-population/"",""children"":""Erie County""},""_owner"":null}","New York",925528,919224,0.0068579584519115055
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ga/gwinnett-county-population/"",""children"":""Gwinnett County""},""_owner"":null}","Georgia",920260,808254,0.1385777243292332
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/md/prince-george's-county-population/"",""children"":""Prince George's County""},""_owner"":null}","Maryland",912756,865653,0.05441325796826213
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ct/hartford-county-population/"",""children"":""Hartford County""},""_owner"":null}","Connecticut",895388,895504,-0.00012953599313902942
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/kern-county-population/"",""children"":""Kern County""},""_owner"":null}","California",893119,841116,0.061826192820015224
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/san-francisco-county-population/"",""children"":""San Francisco County""},""_owner"":null}","California",884363,805770,0.09753775891383398
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/wa/pierce-county-population/"",""children"":""Pierce County""},""_owner"":null}","Washington",876764,795278,0.10246228362912091
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/mi/macomb-county-population/"",""children"":""Macomb County""},""_owner"":null}","Michigan",871375,841326,0.035716238414122525
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/tx/hidalgo-county-population/"",""children"":""Hidalgo County""},""_owner"":null}","Texas",860661,779015,0.10480671103894013
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ct/new-haven-county-population/"",""children"":""New Haven County""},""_owner"":null}","Connecticut",860435,863618,-0.0036856573160818362
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/ventura-county-population/"",""children"":""Ventura County""},""_owner"":null}","California",854223,825298,0.035047946317572576
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/nj/middlesex-county-population/"",""children"":""Middlesex County""},""_owner"":null}","New Jersey",842798,811217,0.03893039716869828
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/tx/el-paso-county-population/"",""children"":""El Paso County""},""_owner"":null}","Texas",840410,803511,0.04592220890566523
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/tx/denton-county-population/"",""children"":""Denton County""},""_owner"":null}","Texas",836210,666750,0.2541582302212224
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/md/baltimore-county-population/"",""children"":""Baltimore County""},""_owner"":null}","Maryland",832468,806405,0.032319988095312
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ma/worcester-county-population/"",""children"":""Worcester County""},""_owner"":null}","Massachusetts",826116,800290,0.03227080183433495
